Input,Output
อาการ,"ปฏิกิริยาอาการแพ้อาหาร (Food Allergy) แบ่งออกเป็น
- ชนิดไม่เฉียบพลัน (Non – IgE – Mediated Food Allergy) เป็นกลุ่มที่มีอาการแบบล่าช้า ค่อย ๆ ปรากฏอาการหลายชั่วโมง
หรือเป็นวันหลังจากรับประทานอาหารเข้าไปแล้ว เช่น ผื่นเรื้อรัง  โดยจะมีผื่นแดง คัน แห้ง ในเด็กมักจะเป็นบริเวณที่แก้มหรือข้อพับ 
หรือถ้าหากเป็นอาการที่เกิดขึ้นที่ระบบทางเดินอาหาร อาจถ่ายเป็นมูกเลือด อาเจียน และถ่ายเหลวรุนแรง
- ชนิดเฉียบพลัน (IgE – Mediated Food Allergy) มีอาการตาบวม ปากบวม ผื่นลมพิษ หลอดลมตีบ ไอ แน่นหน้าอก หายใจไม่ออก 
ปวดท้อง อาเจียน โดยอาการจะเกิดขึ้นภายใน 30 นาที – 1 ชั่วโมง หลังจากรับประทานอาหาร และมีโอกาสเสี่ยงที่จะเกิดอาการแพ้รุนแรงได้
- ชนิดรุนแรง (Anaphylaxis) เป็นอาการแพ้ในระดับรุนแรงที่สุดและเป็นอันตรายถึงชีวิต อาการที่เกิดขึ้น ได้แก่ ผื่นแดงตามผิวหนัง ลมพิษ คัน 
ผิวหนังแดงหรือซีด วิงเวียนศีรษะ หน้ามืดคล้ายจะเป็นลม คลื่นไส้ อาเจียน ปวดท้อง หรือท้องเสีย
"
สาเหตุ,"ภาวะแพ้อาหาร หรือ Food allergy สาเหตุเกิดจากปฏิกิริยาตอบสนองของระบบภูมิคุ้มกันในร่างกายที่เกิดขึ้นหลังจากที่เราได้ทาน
สารอาหารบางชนิดเข้าไป แล้วไปทำให้ร่างกายมีการกระตุ้น สร้าง IgE (Immunoglobulin E) ต่อต้านต่ออาหารชนิดนั้น 
โดย IgE จะส่งสัญญาณไปยังระบบภูมิคุ้มกันเพื่อปล่อยสารฮีสตามีน ทำให้เกิดอาการแพ้ต่างๆเกิดขึ้น"
การแก้อาการแพ้เบื้องต้น,"1.ทำให้อาเจียนออกมา
พยายามทำให้ปริมาณของสารที่แพ้ลดน้อยลง เช่น ล้วงลำคอให้อาเจียน เพื่อขับสารก่อภูมิแพ้ต้นเหตุที่อยู่ในร่างกายออกมาให้หมด 
แล้วสังเกตอาการว่าดีขึ้นหรือไม่ หากไม่ดีขึ้นต้องได้รับยาแก้แพ้ หรือพาคนป่วยส่งโรงพยาบาล
2.ขับออกทางปัสสาวะ
ให้ผู้ป่วยที่แพ้อาหารดื่มน้ำเปล่าเข้าไปมากๆ และพยายามไปปัสสาวะออกมาให้ได้มากที่สุด 
เพื่อลดความเข้มข้นของสารก่อภูมิแพ้ในร่างกาย จะช่วยบรรเทาอาการได้
3.ใช้ยาแก้แพ้
หากทำตามข้อ 1 ข้อ 2 แล้วยังไม่ค่อยดีขึ้น สามารถหาซื้อได้ตามร้านขายยาทั่วไป ซึ่งวิธีนี้ก็ใช้สำหรับคนที่มีอาการ ""แพ้อาหาร"" แบบไม่รุนแรง
4.หาสาเหตุการแพ้
ตรวจหาอาหารที่เป็นสาเหตุก่อให้เกิดอาการแพ้ กรณีที่อาการแพ้น้อยมาก มีอาการไม่รุนแรง เช่น ผดผื่นคัน 
อาจลองกินอาหารที่สงสัยว่าเป็นสาเหตุอีกครั้ง แต่ไม่แนะนำวิธีนี้ ทางที่ดีไม่ควรตรวจหาด้วยตัวเอง 
แต่ควรไปพบแพทย์เพื่อเข้ารับการตรวจ Allergy skin test
5.แพ้เฉียบพลัน
กรณีที่มีอาการแพ้รุนแรง เช่น มีอาการแน่นหน้าอก หายใจไม่สะดวก ต้องรีบไปโรงพยาบาลทันที เพราะการแพ้อาหารแบบเฉียบพลันนั้น 
เป็นอันตรายถึงชีวิตได้ ยิ่งถึงมือหมอเร็วเท่าไหร่ก็จะยิ่งมีโอกาสหายมากขึ้น หรือถ้าใครที่รู้ตัวเองว่าแพ้อะไร ก็ควรพกยาแก้แพ้ติดตัว 
ไม่ว่าจะเป็นยากินแบบเม็ด หรือยาฉีดแบบ Epinephrine ซึ่งเป็นยาที่ใช้ในกรณีฉุกเฉินเมื่อมีภาวะแพ้อย่างรุนแรง 
ใช้กระตุ้นการทำงานของหัวใจเมื่อหัวใจหยุดเต้น"
การรักษา,"การรักษาการแพ้อาหารจะใช้วิธีที่เรียกว่า “วิธีการรักษาภาวะแพ้อาหารโดยวิธีรับประทาน” (Oral immunotherapy) 
โดยจะให้ผู้ป่วยรับประทานอาหารที่แพ้เข้าไปทีละน้อย และค่อย ๆ เพิ่มปริมาณขึ้นเป็นระยะ จนถึงระดับที่สามารถทำให้เกิดการกระตุ้นเซลล์ที่สร้างภูมิคุ้มกันแก่ร่างกายได้ 
จากนั้นต้องกินอาหารชนิดนั้น ๆ ต่อเนื่องเป็นระยะเวลาอย่างน้อย 2-3 ปี
กระบวนการรักษาในโรงพยาบาล
ต้องรับตัวผู้ป่วยไว้รักษาในโรงพยาบาลอย่างน้อย 3 วัน เพื่อหาปริมาณอาหารที่มากที่สุดที่กินแล้วไม่เกิดอาการ โดยจะมีแพทย์และพยาบาลเฝ้าตลอดทำการรักษา 
ส่วนการเพิ่มปริมาณในแต่ละครั้งจะทำการรับไว้ดูแลในโรงพยาบาลครึ่งวัน โดยจะมีแพทย์ผู้เชี่ยวชาญและพยาบาลติดตามอาการตลอด
ผลการรักษา
จะแบ่งเป็น 2 ระดับ คือ
1. การรักษาในระดับรับประทานอาหารได้ โดยไม่มีอาการ เรียกว่า desensitization ผู้ป่วยในระยะนี้ยังต้องกินอาหารที่แพ้อย่างต่อเนื่อง เพราะถ้าหยุดหลายวันอาจกลับมามีอาการได้ 
ซึ่งการรักษาส่วนใหญ่ผู้ป่วยสามารถรับประทานได้ถึงระดับนี้ แม้จะไม่หายขาด แต่ทำให้ผู้ป่วยและครอบครัวมีคุณภาพชีวิตที่ดีขึ้นมาก
2. การรักษาในระดับหายขาด (sustained unresponsiveness หรือ tolerance) ผู้ป่วยกลุ่มนี้สามารถใช้ชีวิตได้เหมือนปกติ ไม่จำเป็นต้องรับประทานอาหารที่แพ้อย่างต่อเนื่อง 
ผลการรักษาในระดับนี้ ต้องอาศัยการรักษาอย่างต่อเนื่อง อย่างน้อย 3-5 ปี"
การทดสอบการแพ้อาหาร,"การทดสอบการแพ้อาหาร (Oral Food Challenge Test) คือ การให้ผู้ป่วยรับประทานอาหารที่สงสัยว่าทำให้เกิดอาการแพ้ โดยให้ผู้ป่วยลองรับประทานอาหารที่สงสัยเริ่มจากปริมาณน้อย ๆ 
และค่อย ๆ เพิ่มปริมาณ เพื่อดูปฏิกิริยาการแพ้ที่เกิดขึ้น
วิธีทดสอบอาการแพ้อาหาร (Oral Food Challenge) เบื้องต้น ได้แก่
1.การทดสอบภูมิแพ้ทางผิวหนัง (Skin Prick Tests) ผู้ป่วยต้องไม่มีอาการเจ็บป่วยอย่างน้อย 1 สัปดาห์ 
ก่อนวันที่ทำการทดสอบ และงดรับประทานยาแก้แพ้ 1 สัปดาห์ ก่อนวันที่ทำการทดสอบ 
เมื่อทดสอบแล้วสามารถทราบผลได้ภายใน 15 – 20 นาที 
(ในกรณีที่มีอาการแพ้รุนแรงจะสามารถทดสอบได้หลังจากมีอาการ 1 เดือน)
2.การตรวจเลือด (Blood Test For Specific IgE)  ไม่ต้องงดยาแก้แพ้ก่อนการทดสอบ 
เมื่อทดสอบแล้วสามารถทราบผลได้ภายใน  3 – 5 วันทำการ โดยมีทั้งผลเป็นบวกและลบ
- ผลเป็นบวก แพทย์อาจให้งดหรืออาจให้ทำทดสอบด้วยการรับประทานอาหาร (Oral Food Challenge) ตามความเหมาะสม 
(ในกรณีที่ผู้ป่วยแพ้อยู่ก่อนแล้วและต้องการรู้ว่าหายแพ้แล้วหรือไม่) และขึ้นอยู่กับดุลพินิจของแพทย์ผู้ทำการรักษา
- ผลเป็นลบ อาจพิจารณาทำการทดสอบด้วยการรับประทานอาหาร (Oral Food Challenge)
ผู้ที่เหมาะกับการทดสอบการแพ้อาหาร
- ผู้ที่เคยทานอาหารได้ แต่ต่อมาถูกวินิจฉัยว่าแพ้อาหารและต้องการพิสูจน์ว่าแพ้หรือไม่
- ผู้ที่เคยตรวจจากผลเลือดว่าแพ้อาหาร แต่ไม่มีอาการ
- ผู้ที่เคยมีประวัติยืนยันว่าแพ้อาหาร แต่ต้องการรู้ว่าหายแล้วหรือยัง
- ผู้ที่สงสัยว่าตนเองแพ้อาหาร แต่มีอาการแสดงไม่ชัดเจน"
แพ้นมวัว,"- ส่วนใหญ่จะหายได้เอง ควรปรึกษาแพทย์ เพื่อรับคำแนะนำถึงวิธีการกลับมารับประทานนมวัวได้อย่างปลอดภัย 
สาเหตุ - การแพ้นมวัว หรือ โรคแพ้โปรตีนนมวัว เกิดจากร่างกายมีปฏิกิริยาทางภูมิคุ้มกันต่อโปรตีนในนมวัว ระดับความรุนแรงแตกต่างกัน 
มักพบในเด็กทารกตั้งแต่แรกเกิด หรือทารกที่ทานนมแม่อย่างเดียว พบการแพ้โปรตีนนมวัวผ่านนมแม่ได้เนื่องจากระบบภูมิคุ้มกันและระบบทางเดินอาหารในทารกยังไม่สมบูรณ์
อาการแพ้ - เริ่มแสดงอาการได้ภายใน 1-3ชม. เป็นวันหรือเป็นสัปดาห์หลังรับประทาน
1. ผิวหนัง : ผื่นลมพิษ เนื้อเยื่อใต้ผิวหนังบวมแบบเฉียบพลัน ผื่นผิวหนังอักเสบภูมิแพ้
2. ระบบทางเดินหายใจ :น้ำมูกไหล ไอแห้ง คัดจมูก นอนกรน หายใจเสียงหวี๊ด หอบ, Heiner syndrome
3. ระบบทางเดินอาหาร : ริมฝีปากบวม อาเจียน ถ่ายเหลวเฉียบพลัน ถ่ายมีมูกเลือดเรื้อรัง
4. อาการแพ้รุนแรงเฉียบพลันทั่วตัว (Anaphylaxis)
อาหารทดแทน
1. นมที่ทำจากพืช - ถ้าไม่มีอาการแพ้ถั่วเหลือง สามารถเลือกนมผงที่มีส่วนผสมสกัดจากถั่วเหลืองทดแทนได้
2. นมจากน้ำนมไก่ - ทำมาจากอกไก่ผ่านกระบวนการที่ทำให้โปรตีนคงตัว เเล้วละลายให้เป็นนม
3. นมที่ทำจากโปรตีนย่อยสลาย ทำให้เกิดอาการแพ้น้อยลง - การหาซื้อสามารถสังเกตได้จากคำว่า Partial หรือ Ex-tensive
4. นมสูตรกรดอะมิโน - เหมาะกับเด็กที่แพ้นมวัวแบบรุนแรง มีโครงสร้างเป็นกรดอะมิโนแบบ 100% ตอนนี้มี “นมข้าวอะมิโน” ที่สกัดมาจากข้าว
อาหารที่ควรหลีกเลี่ยง - เบอเกอรี่ชนิดต่างๆ ครีม ชีส ลูกอมรสนมช็อกโกแลต ซาลาเปาบางยี่ห้อ ไส้กรอกบางยี่ห้อ ไอศกรีมกะทิสดบางสูตร ไข่กวน ซุปข้น พิซซ่า ต้มยำ ฯลฯ"
แพ้ไข่,"- ไข่เป็นอาหารที่แพ้ได้มากที่สุดเป็นอันดับต้นๆ คู่ไปกับนมวัวในเด็กเล็ก และพบว่าแพ้โปรตีนในไข่ขาวมากกว่าไข่แดง
- เด็กมีโอกาสแพ้อาหารประเภทไข่มากกว่าผู้ใหญ่ ทว่าเมื่อเติบโตขึ้นการแพ้ไข่อาจจะลดความรุนแรงหรือหายได้
สาเหตุ - การแพ้ไข่ เกิดจากการที่ระบบภูมิคุ้มกันในร่างกายเข้าใจผิดว่า โปรตีนบางชนิดในไข่เป็นสิ่งที่ก่ออันตรายต่อร่างกาย
จนทำให้เซลล์ระบบภูมิคุ้มกันปล่อยสารฮิสตามีนและสารเคมีอื่น ๆ ซึ่งเป็นสาเหตุที่ก่อให้เกิดอาการแพ้ต่าง ๆ โดยทั้งไข่แดงและไข่ขาวมีโปรตีนที่ก่อให้เกิดอาการแพ้
อาการแพ้ - อาจแสดงทันทีหลังกินไข่หรืออาหารที่มีไข่เป็นส่วนประกอบ หรืออาจจะนานหลายชั่วโมง หรือหลายวัน ซึ่งความรุนแรงและอาการแสดงออกมีความแตกต่างกันไปในแต่ละบุคคล
1. อาการทางผิวหนัง เช่น อาการบวม ลมพิษ ผื่นแดง หรือผิวหนังอักเสบ เป็นต้น
2. อาการคล้ายกับผู้ป่วยโรคหืด เช่น ไอ แน่นหน้าอก หายใจลำบาก หรือหายใจมีเสียงหวีด เป็นต้น
3. อาการคล้ายโรคจมูกอักเสบจากภูมิแพ้ เช่น น้ำมูกไหล จาม หรือมีอาการคัดจมูก เป็นต้น
4. อาการเกี่ยวกับระบบทางเดินอาหาร เช่น ปวดท้อง ท้องเสีย คลื่นไส้ และอาเจียน เป็นต้น
5. น้ำตาไหล คันตา หรือตาบวม เวียนศีรษะ เป็นลม หัวใจเต้นเร็ว
6. อาการแพ้รุนแรงเฉียบพลันทั่วตัว (Anaphylaxis) อาจนำไปสู่ภาวะช็อกได้ และอาจมีอันตรายถึงชีวิตได้
อาหารทดแทน 
- สามารถเลือกรับประทานอาหารจากหมวดเนื้อสัตว์ทดแทนไข่ เนื่องจากมีสารอาหารและพลังงานที่เท่ากัน เช่น เนื้อแดง(หมู/วัว), เนื้อเป็ด, เต้าหู้แข็ง, เต้าหู้อ่อน, นมถั่วเหลือง
อาหารที่ควรหลีกเลี่ยง - ไอศกรีม มายองเนส น้ำสลัด มูส  บะหมี่ หมี่กะทิ มักกะโรนี พาสต้า โรตีมะตะบะ พิซซ่า ทอดมัน ขนมครก
เกี๊ยว ขนมจีบ น้ำสลัด มายองเนส ไส้กรอก แฮมเบอร์เกอร์ อาหารชุบแป้งทอด ทองหยิบ ทองหยอด เบอเกอรี่ชนิดต่างๆ ฯลฯ"
แพ้แป้งสาลี,"สาเหตุ - เกิดหลังได้รับอาหารที่ประกอบด้วยแป้งสาลี ไม่ว่าจะเกิดจากการรับประทาน การสัมผัสอาหาร หรือจากการสูดดมเข้าสู่ร่างกาย  ในเด็กโดยมักเริ่มมีอาการตั้งแต่อายุน้อยกว่า 1 ปี 
และเป็นสาเหตุสำคัญของการแพ้อาหารชนิดรุนแรง
อาการแพ้ - อาการแพ้แบบเฉียบพลัน ได้แก่ ผื่นลมพิษ ตาบวม ปากบวม หลอดลมตีบ หายใจมีเสียงหวีด ปวดท้อง อาเจียน และอาการแพ้แบบรุนแรง (anaphylaxis)
                 - อาการแพ้แบบล่าช้า เช่น ผื่นผิวหนังอักเสบ ถ่ายมีมูกเลือดปน
อาหารทดแทน
อาหารประเภทแป้งที่ทำจากข้าวเจ้า  ข้าวเหนียว แป้งข้าวโพด แป้งมันสำปะหลัง เช่น ก๋วยเตี๋ยวเส้นเล็ก เส้นใหญ่ ก๋วยจั๊บ ขนมจีน ผัดวุ้นเส้น ราดหน้า ทับทิมกรอบ ขนมชั้น ลูกชุบ
อาหารที่ควรหลีกเลี่ยง
1. ของคาว เช่น มักกะโรนี, สปาเกตตี, พาสต้า, บะหมี่, หมี่ชั่ว, เกี๊ยวกรอบ, พิซซ่า, ปลาดุกฟู, ไส้กรอก, ปูอัด, แฮมเบอร์เกอร์, อาหารชุบแป้งทอด, ซีอิ๊ว
2. ของหวาน เช่น  เค้ก, แพนเค้ก, คุ้กกี้, ซีเรียล, โดนัท, แยมโรล, ขนมแครกเกอร์, โรตี, สายไหม, ขนมปังปอนด์, พุดดิ้ง, โอวัลติน
"
แพ้ถั่ว,"- มักจะแพ้ถั่วตลอดชีวิต พบได้บ่อยทั้งในเด็กและผู้ใหญ่ แบ่งเป็น 2 ประเภทใหญ่ๆ ได้แก่
  (1) ถั่วเมล็ดแห้ง(Bean) - ถั่วลิสง ถั่วลูกไก่ และถั่วเลนทิล
  (2) ถั่วเปลือกแข็ง(Legume) - อัลมอนด์, เม็ดมะม่วงหิมพานต์, แมคคาเดเมีย, เฮเซลนัท, วอลนัท, ถั่วพิสตาชิโอ, ถั่วพีแคน, ถั่วฮิกคอรี, และถั่วบราซิล
- ผู้ที่แพ้ถั่วเมล็ดแห้งอย่างถั่วลิสงประมาณร้อยละ 20–30 มักแพ้ถั่วประเภทยืนต้นด้วยอย่างน้อย 1 ชนิดหรือมากกว่า และมักพบว่าผู้ที่แพ้ถั่วลิสงอาจมีอาการแพ้ถั่วเหลืองด้วย
สาเหตุ - การแพ้ถั่ว เกิดจากการที่ระบบภูมิคุ้มกันมีปฏิกิริยาตอบสนองต่อโปรตีนในถั่ว ร่างกายจะการปล่อยแอนติบอดี้เพื่อกำจัดโปรตีนที่ก่อให้เกิดอาการแพ้ 
และกระตุ้นให้ร่างกายปล่อยสารฮิสตามีน(Histamine) ส่งผลให้แสดงอาการแพ้ออกมา 
อาการแพ้ - จะเกิดขึ้นหลังรับประทานถั่วหรืออาหารที่มีส่วนประกอบของถั่วเข้าไปภายในไม่กี่นาทีหรือไม่เกิน 1 ชั่วโมง
1. คัดจมูก น้ำมูกไหล 
2. ริมฝีปากบวม รู้สึกชาในปากหรือลำคอ และบางครั้งอาจรู้สึกแน่นในลำคอ 
3. ปวดท้อง คลื่นไส้ และอาเจียน 
4. เกิดผื่นแดงคันที่ผิวหนัง และผื่นลมพิษ
5. อาการแพ้รุนแรงเฉียบพลันทั่วตัว (Anaphylaxis) โดยอาจมีอาการข้างต้นร่วมกับ หายใจลำบาก หัวใจเต้นเร็ว ความดันโลหิตลดลง อาจหมดสติและมีอันตรายถึงชีวิตได้
อาหารทดแทน - เนื้อสัตว์ต่างๆ เช่น เนื้อปลา ไก่ แพะ แกะ หมู เนื้อวัว รวมถึงนมวัว
สิ่งที่ควรหลีกเลี่ยง
1. อาหาร - ถั่วเเระ, นัตโตะ, มิโสะ, เต้าเจี้ยว, เต้าหู้, ซอสปรุงอาหาร เนยถั่ว, น้ำมันถั่วลิสง, ขนมอบต่าง ๆ, ไอศกรีม, พุดดิ้ง, ลูกอม, ช็อกโกแลต, 
ซีเรียล, กราโนล่า, โปรตีนบาร์, น้ำสลัด, น้ำผึ้ง, เครื่องดื่มแอลกฮอล์บางชนิด ซึ่งบางครั้งอาจไม่ได้ระบุในฉลากว่ามีถั่วเป็นส่วนผสม ฯลฯ
2. ผลิตภัณฑ์ - ผลิตภัณฑ์ทำความสะอาดและบำรุงผิว เช่น แชมพู สบู่ และโลชั่นที่อาจมีส่วนผสมของน้ำมันสกัดจากถั่ว ก่อนใช้ควรตรวจดูส่วนประกอบบนบรรจุภัณฑ์"
แพ้อาหารทะเล,"สาเหตุ - หากบุคคลในครอบครัวเคยมีอาการแพ้ยา อาหาร หรือสารใด ๆ ก็ตาม สมาชิกในครอบครัวนั้นมักมีโอกาสเสี่ยงต่อการแพ้อาหารทะเลมากกว่าปกติ 
นอกจากนี้ อาการแพ้อาหารทะเลยังสามารถเกิดขึ้นในช่วงวัยใดก็ได้ ไม่จำเป็นต้องแพ้ตั้งแต่เด็ก โดยจะพบได้บ่อยในผู้ใหญ่ พบในเพศหญิงมากกว่าเพศชาย
อาการแพ้ - มักจะเกิดขึ้นภายในช่วงเวลาตั้งแต่หลายนาทีหรือเป็นชั่วโมงหลังจากรับประทานอาหารชนิดนั้น ๆ เข้าไป
1. เกิดลมพิษ รู้สึกคัน หรือมีผื่นขึ้นตามผิวหนัง
2. คัดจมูก หายใจเสียงดังวี้ด หรือหายใจลำบาก
3. มีอาการบวมที่ใบหน้า ลำคอ ริมฝีปาก ลิ้น หรือส่วนอื่น ๆ ของร่างกาย เช่น หู ฝ่ามือ นิ้วมือ
4. ปวดท้อง ท้องเสีย คลื่นไส้ อาเจียน
5. รู้สึกมึนงง วิงเวียน บ้านหมุน หรือคล้ายจะเป็นลม
6. ปวดคล้ายเข็มทิ่มในปาก
อาหารทดแทน
รับโปรตีนจากแหล่งอื่น เช่น หมู ไก่ ถั่วเหลือง
อาหารที่ควรหลีกเลี่ยง
หลีกเลี่ยงการรับประทานสัตว์น้ำมีเปลือก รวมถึงผลิตภัณฑ์ใด ๆ ที่มีส่วนผสมจากอาหารเหล่านี้ เป็นวิธีป้องกันไม่ให้เกิดอาการแพ้ได้ดีที่สุด "